,realtime_start,realtime_end,date,value
0,2024-11-07,2024-11-07,2000-11-01,3.44418
1,2024-11-07,2024-11-07,2000-12-01,3.43602
2,2024-11-07,2024-11-07,2001-01-01,3.7212
3,2024-11-07,2024-11-07,2001-02-01,3.52941
4,2024-11-07,2024-11-07,2001-03-01,2.98246
5,2024-11-07,2024-11-07,2001-04-01,3.21826
6,2024-11-07,2024-11-07,2001-05-01,3.56308
7,2024-11-07,2024-11-07,2001-06-01,3.19396
8,2024-11-07,2024-11-07,2001-07-01,2.72148
9,2024-11-07,2024-11-07,2001-08-01,2.72148
10,2024-11-07,2024-11-07,2001-09-01,2.59217
11,2024-11-07,2024-11-07,2001-10-01,2.12766
12,2024-11-07,2024-11-07,2001-11-01,1.89437
13,2024-11-07,2024-11-07,2001-12-01,1.60367
14,2024-11-07,2024-11-07,2002-01-01,1.1959
15,2024-11-07,2024-11-07,2002-02-01,1.13636
16,2024-11-07,2024-11-07,2002-03-01,1.36286
17,2024-11-07,2024-11-07,2002-04-01,1.64399
18,2024-11-07,2024-11-07,2002-05-01,1.24083
19,2024-11-07,2024-11-07,2002-06-01,1.06922
20,2024-11-07,2024-11-07,2002-07-01,1.46561
21,2024-11-07,2024-11-07,2002-08-01,1.74746
22,2024-11-07,2024-11-07,2002-09-01,1.516
23,2024-11-07,2024-11-07,2002-10-01,2.02703
24,2024-11-07,2024-11-07,2002-11-01,2.25352
25,2024-11-07,2024-11-07,2002-12-01,2.48027
26,2024-11-07,2024-11-07,2003-01-01,2.75746
27,2024-11-07,2024-11-07,2003-02-01,3.14607
28,2024-11-07,2024-11-07,2003-03-01,3.02521
29,2024-11-07,2024-11-07,2003-04-01,2.17513
30,2024-11-07,2024-11-07,2003-05-01,1.89415
31,2024-11-07,2024-11-07,2003-06-01,1.94878
32,2024-11-07,2024-11-07,2003-07-01,2.05556
33,2024-11-07,2024-11-07,2003-08-01,2.21607
34,2024-11-07,2024-11-07,2003-09-01,2.37832
35,2024-11-07,2024-11-07,2003-10-01,2.04194
36,2024-11-07,2024-11-07,2003-11-01,1.92837
37,2024-11-07,2024-11-07,2003-12-01,2.0352
38,2024-11-07,2024-11-07,2004-01-01,2.02629
39,2024-11-07,2024-11-07,2004-02-01,1.68845
40,2024-11-07,2024-11-07,2004-03-01,1.74008
41,2024-11-07,2024-11-07,2004-04-01,2.29258
42,2024-11-07,2024-11-07,2004-05-01,2.89776
43,2024-11-07,2024-11-07,2004-06-01,3.16767
44,2024-11-07,2024-11-07,2004-07-01,2.93958
45,2024-11-07,2024-11-07,2004-08-01,2.54743
46,2024-11-07,2024-11-07,2004-09-01,2.53917
47,2024-11-07,2024-11-07,2004-10-01,3.19091
48,2024-11-07,2024-11-07,2004-11-01,3.62162
49,2024-11-07,2024-11-07,2004-12-01,3.34232
50,2024-11-07,2024-11-07,2005-01-01,2.84487
51,2024-11-07,2024-11-07,2005-02-01,3.05303
52,2024-11-07,2024-11-07,2005-03-01,3.20684
53,2024-11-07,2024-11-07,2005-04-01,3.36179
54,2024-11-07,2024-11-07,2005-05-01,2.86929
55,2024-11-07,2024-11-07,2005-06-01,2.54103
56,2024-11-07,2024-11-07,2005-07-01,3.06716
57,2024-11-07,2024-11-07,2005-08-01,3.64693
58,2024-11-07,2024-11-07,2005-09-01,4.74183
59,2024-11-07,2024-11-07,2005-10-01,4.3501
60,2024-11-07,2024-11-07,2005-11-01,3.33855
61,2024-11-07,2024-11-07,2005-12-01,3.33855
62,2024-11-07,2024-11-07,2006-01-01,4.01879
63,2024-11-07,2024-11-07,2006-02-01,3.63825
64,2024-11-07,2024-11-07,2006-03-01,3.41792
65,2024-11-07,2024-11-07,2006-04-01,3.61384
66,2024-11-07,2024-11-07,2006-05-01,3.97727
67,2024-11-07,2024-11-07,2006-06-01,4.18172
68,2024-11-07,2024-11-07,2006-07-01,4.10467
69,2024-11-07,2024-11-07,2006-08-01,3.92657
70,2024-11-07,2024-11-07,2006-09-01,2.01207
71,2024-11-07,2024-11-07,2006-10-01,1.40633
72,2024-11-07,2024-11-07,2006-11-01,1.9687
73,2024-11-07,2024-11-07,2006-12-01,2.52398
74,2024-11-07,2024-11-07,2007-01-01,2.07577
75,2024-11-07,2024-11-07,2007-02-01,2.42026
76,2024-11-07,2024-11-07,2007-03-01,2.7982
77,2024-11-07,2024-11-07,2007-04-01,2.59292
78,2024-11-07,2024-11-07,2007-05-01,2.70989
79,2024-11-07,2024-11-07,2007-06-01,2.69277
80,2024-11-07,2024-11-07,2007-07-01,2.31789
81,2024-11-07,2024-11-07,2007-08-01,1.89745
82,2024-11-07,2024-11-07,2007-09-01,2.83383
83,2024-11-07,2024-11-07,2007-10-01,3.6107
84,2024-11-07,2024-11-07,2007-11-01,4.37327
85,2024-11-07,2024-11-07,2007-12-01,4.10881
86,2024-11-07,2024-11-07,2008-01-01,4.2947
87,2024-11-07,2024-11-07,2008-02-01,4.14296
88,2024-11-07,2024-11-07,2008-03-01,3.9749
89,2024-11-07,2024-11-07,2008-04-01,3.90376
90,2024-11-07,2024-11-07,2008-05-01,4.08841
91,2024-11-07,2024-11-07,2008-06-01,4.93597
92,2024-11-07,2024-11-07,2008-07-01,5.49751
93,2024-11-07,2024-11-07,2008-08-01,5.30802
94,2024-11-07,2024-11-07,2008-09-01,4.95332
95,2024-11-07,2024-11-07,2008-10-01,3.73106
96,2024-11-07,2024-11-07,2008-11-01,1.09992
97,2024-11-07,2024-11-07,2008-12-01,-0.02223
98,2024-11-07,2024-11-07,2009-01-01,-0.11359
99,2024-11-07,2024-11-07,2009-02-01,0.00846
100,2024-11-07,2024-11-07,2009-03-01,-0.44648
101,2024-11-07,2024-11-07,2009-04-01,-0.57632
102,2024-11-07,2024-11-07,2009-05-01,-1.01576
103,2024-11-07,2024-11-07,2009-06-01,-1.22917
104,2024-11-07,2024-11-07,2009-07-01,-1.95876
105,2024-11-07,2024-11-07,2009-08-01,-1.48384
106,2024-11-07,2024-11-07,2009-09-01,-1.37794
107,2024-11-07,2024-11-07,2009-10-01,-0.22397
108,2024-11-07,2024-11-07,2009-11-01,1.91459
109,2024-11-07,2024-11-07,2009-12-01,2.81412
110,2024-11-07,2024-11-07,2010-01-01,2.62111
111,2024-11-07,2024-11-07,2010-02-01,2.15134
112,2024-11-07,2024-11-07,2010-03-01,2.28617
113,2024-11-07,2024-11-07,2010-04-01,2.20677
114,2024-11-07,2024-11-07,2010-05-01,2.00355
115,2024-11-07,2024-11-07,2010-06-01,1.12156
116,2024-11-07,2024-11-07,2010-07-01,1.34078
117,2024-11-07,2024-11-07,2010-08-01,1.15018
118,2024-11-07,2024-11-07,2010-09-01,1.11831
119,2024-11-07,2024-11-07,2010-10-01,1.1667
120,2024-11-07,2024-11-07,2010-11-01,1.08454
121,2024-11-07,2024-11-07,2010-12-01,1.43779
122,2024-11-07,2024-11-07,2011-01-01,1.70078
123,2024-11-07,2024-11-07,2011-02-01,2.1249
124,2024-11-07,2024-11-07,2011-03-01,2.61924
125,2024-11-07,2024-11-07,2011-04-01,3.07723
126,2024-11-07,2024-11-07,2011-05-01,3.45897
127,2024-11-07,2024-11-07,2011-06-01,3.50232
128,2024-11-07,2024-11-07,2011-07-01,3.57988
129,2024-11-07,2024-11-07,2011-08-01,3.755
130,2024-11-07,2024-11-07,2011-09-01,3.81262
131,2024-11-07,2024-11-07,2011-10-01,3.52227
132,2024-11-07,2024-11-07,2011-11-01,3.45143
133,2024-11-07,2024-11-07,2011-12-01,3.06207
134,2024-11-07,2024-11-07,2012-01-01,3.00877
135,2024-11-07,2024-11-07,2012-02-01,2.89818
136,2024-11-07,2024-11-07,2012-03-01,2.58288
137,2024-11-07,2024-11-07,2012-04-01,2.27316
138,2024-11-07,2024-11-07,2012-05-01,1.73794
139,2024-11-07,2024-11-07,2012-06-01,1.65387
140,2024-11-07,2024-11-07,2012-07-01,1.41751
141,2024-11-07,2024-11-07,2012-08-01,1.68593
142,2024-11-07,2024-11-07,2012-09-01,1.94972
143,2024-11-07,2024-11-07,2012-10-01,2.15568
144,2024-11-07,2024-11-07,2012-11-01,1.79602
145,2024-11-07,2024-11-07,2012-12-01,1.7595
146,2024-11-07,2024-11-07,2013-01-01,1.68406
147,2024-11-07,2024-11-07,2013-02-01,2.01814
148,2024-11-07,2024-11-07,2013-03-01,1.51875
149,2024-11-07,2024-11-07,2013-04-01,1.13881
150,2024-11-07,2024-11-07,2013-05-01,1.39039
151,2024-11-07,2024-11-07,2013-06-01,1.71579
152,2024-11-07,2024-11-07,2013-07-01,1.88547
153,2024-11-07,2024-11-07,2013-08-01,1.53881
154,2024-11-07,2024-11-07,2013-09-01,1.09473
155,2024-11-07,2024-11-07,2013-10-01,0.8768
156,2024-11-07,2024-11-07,2013-11-01,1.23287
157,2024-11-07,2024-11-07,2013-12-01,1.51284
158,2024-11-07,2024-11-07,2014-01-01,1.55776
159,2024-11-07,2024-11-07,2014-02-01,1.12047
160,2024-11-07,2024-11-07,2014-03-01,1.61269
161,2024-11-07,2024-11-07,2014-04-01,2.01513
162,2024-11-07,2024-11-07,2014-05-01,2.16695
163,2024-11-07,2024-11-07,2014-06-01,2.05898
164,2024-11-07,2024-11-07,2014-07-01,1.97424
165,2024-11-07,2024-11-07,2014-08-01,1.7151
166,2024-11-07,2024-11-07,2014-09-01,1.68405
167,2024-11-07,2024-11-07,2014-10-01,1.60954
168,2024-11-07,2024-11-07,2014-11-01,1.23152
169,2024-11-07,2024-11-07,2014-12-01,0.65312
170,2024-11-07,2024-11-07,2015-01-01,-0.22993
171,2024-11-07,2024-11-07,2015-02-01,-0.08703
172,2024-11-07,2024-11-07,2015-03-01,-0.02203
173,2024-11-07,2024-11-07,2015-04-01,-0.10403
174,2024-11-07,2024-11-07,2015-05-01,0.03503
175,2024-11-07,2024-11-07,2015-06-01,0.17957
176,2024-11-07,2024-11-07,2015-07-01,0.22569
177,2024-11-07,2024-11-07,2015-08-01,0.2413
178,2024-11-07,2024-11-07,2015-09-01,0.00884
179,2024-11-07,2024-11-07,2015-10-01,0.12762
180,2024-11-07,2024-11-07,2015-11-01,0.43632
181,2024-11-07,2024-11-07,2015-12-01,0.63872
182,2024-11-07,2024-11-07,2016-01-01,1.2375
183,2024-11-07,2024-11-07,2016-02-01,0.84728
184,2024-11-07,2024-11-07,2016-03-01,0.89162
185,2024-11-07,2024-11-07,2016-04-01,1.17263
186,2024-11-07,2024-11-07,2016-05-01,1.07848
187,2024-11-07,2024-11-07,2016-06-01,1.07929
188,2024-11-07,2024-11-07,2016-07-01,0.86836
189,2024-11-07,2024-11-07,2016-08-01,1.05532
190,2024-11-07,2024-11-07,2016-09-01,1.54864
191,2024-11-07,2024-11-07,2016-10-01,1.68592
192,2024-11-07,2024-11-07,2016-11-01,1.68433
193,2024-11-07,2024-11-07,2016-12-01,2.0508
194,2024-11-07,2024-11-07,2017-01-01,2.51039
195,2024-11-07,2024-11-07,2017-02-01,2.81036
196,2024-11-07,2024-11-07,2017-03-01,2.4412
197,2024-11-07,2024-11-07,2017-04-01,2.17622
198,2024-11-07,2024-11-07,2017-05-01,1.85634
199,2024-11-07,2024-11-07,2017-06-01,1.64057
200,2024-11-07,2024-11-07,2017-07-01,1.72511
201,2024-11-07,2024-11-07,2017-08-01,1.92812
202,2024-11-07,2024-11-07,2017-09-01,2.18057
203,2024-11-07,2024-11-07,2017-10-01,2.02076
204,2024-11-07,2024-11-07,2017-11-01,2.17249
205,2024-11-07,2024-11-07,2017-12-01,2.12993
206,2024-11-07,2024-11-07,2018-01-01,2.15132
207,2024-11-07,2024-11-07,2018-02-01,2.26347
208,2024-11-07,2024-11-07,2018-03-01,2.33095
209,2024-11-07,2024-11-07,2018-04-01,2.471
210,2024-11-07,2024-11-07,2018-05-01,2.78192
211,2024-11-07,2024-11-07,2018-06-01,2.80755
212,2024-11-07,2024-11-07,2018-07-01,2.85412
213,2024-11-07,2024-11-07,2018-08-01,2.64292
214,2024-11-07,2024-11-07,2018-09-01,2.33206
215,2024-11-07,2024-11-07,2018-10-01,2.49203
216,2024-11-07,2024-11-07,2018-11-01,2.14733
217,2024-11-07,2024-11-07,2018-12-01,2.00238
218,2024-11-07,2024-11-07,2019-01-01,1.48759
219,2024-11-07,2024-11-07,2019-02-01,1.51886
220,2024-11-07,2024-11-07,2019-03-01,1.88319
221,2024-11-07,2024-11-07,2019-04-01,2.00058
222,2024-11-07,2024-11-07,2019-05-01,1.79591
223,2024-11-07,2024-11-07,2019-06-01,1.67119
224,2024-11-07,2024-11-07,2019-07-01,1.82633
225,2024-11-07,2024-11-07,2019-08-01,1.73764
226,2024-11-07,2024-11-07,2019-09-01,1.6845
227,2024-11-07,2024-11-07,2019-10-01,1.73397
228,2024-11-07,2024-11-07,2019-11-01,2.09229
