date,realtime_start,realtime_end,value
2000-11-01,2024-11-05,2024-11-05,20.1107
2000-12-01,2024-11-05,2024-11-05,20.75472
2001-01-01,2024-11-05,2024-11-05,9.72477
2001-02-01,2024-11-05,2024-11-05,-4.18848
2001-03-01,2024-11-05,2024-11-05,-9.23077
2001-04-01,2024-11-05,2024-11-05,-20.26578
2001-05-01,2024-11-05,2024-11-05,-32.85486
2001-06-01,2024-11-05,2024-11-05,-39.20368
2001-07-01,2024-11-05,2024-11-05,-42.35474
2001-08-01,2024-11-05,2024-11-05,-43.84615
2001-09-01,2024-11-05,2024-11-05,-52.91411
2001-10-01,2024-11-05,2024-11-05,-61.75115
2001-11-01,2024-11-05,2024-11-05,-67.89555
2001-12-01,2024-11-05,2024-11-05,-71.5625
2002-01-01,2024-11-05,2024-11-05,-71.07023
2002-02-01,2024-11-05,2024-11-05,-68.30601
2002-03-01,2024-11-05,2024-11-05,-67.41996
2002-04-01,2024-11-05,2024-11-05,-63.54167
2002-05-01,2024-11-05,2024-11-05,-58.4323
2002-06-01,2024-11-05,2024-11-05,-55.9194
2002-07-01,2024-11-05,2024-11-05,-54.11141
2002-08-01,2024-11-05,2024-11-05,-52.32877
2002-09-01,2024-11-05,2024-11-05,-42.99674
2002-10-01,2024-11-05,2024-11-05,-29.71888
2002-11-01,2024-11-05,2024-11-05,-35.88517
2002-12-01,2024-11-05,2024-11-05,-31.86813
2003-01-01,2024-11-05,2024-11-05,-28.3237
2003-02-01,2024-11-05,2024-11-05,-27.58621
2003-03-01,2024-11-05,2024-11-05,-27.74566
2003-04-01,2024-11-05,2024-11-05,-28.0
2003-05-01,2024-11-05,2024-11-05,-28.0
2003-06-01,2024-11-05,2024-11-05,-30.28571
2003-07-01,2024-11-05,2024-11-05,-41.6185
2003-08-01,2024-11-05,2024-11-05,-40.8046
2003-09-01,2024-11-05,2024-11-05,-42.28571
2003-10-01,2024-11-05,2024-11-05,-42.28571
2003-11-01,2024-11-05,2024-11-05,-25.37313
2003-12-01,2024-11-05,2024-11-05,-20.96774
2004-01-01,2024-11-05,2024-11-05,-19.35484
2004-02-01,2024-11-05,2024-11-05,-19.84127
2004-03-01,2024-11-05,2024-11-05,-20.0
2004-04-01,2024-11-05,2024-11-05,-20.63492
2004-05-01,2024-11-05,2024-11-05,-20.63492
2004-06-01,2024-11-05,2024-11-05,-15.57377
2004-07-01,2024-11-05,2024-11-05,24.75248
2004-08-01,2024-11-05,2024-11-05,38.83495
2004-09-01,2024-11-05,2024-11-05,59.40594
2004-10-01,2024-11-05,2024-11-05,74.25743
2004-11-01,2024-11-05,2024-11-05,93.0
2004-12-01,2024-11-05,2024-11-05,120.40816
2005-01-01,2024-11-05,2024-11-05,128.0
2005-02-01,2024-11-05,2024-11-05,147.52475
2005-03-01,2024-11-05,2024-11-05,163.0
