,realtime_start,realtime_end,date,value
0,2024-11-08,2024-11-08,2000-11-01,20.1107
1,2024-11-08,2024-11-08,2000-12-01,20.75472
2,2024-11-08,2024-11-08,2001-01-01,9.72477
3,2024-11-08,2024-11-08,2001-02-01,-4.18848
4,2024-11-08,2024-11-08,2001-03-01,-9.23077
5,2024-11-08,2024-11-08,2001-04-01,-20.26578
6,2024-11-08,2024-11-08,2001-05-01,-32.85486
7,2024-11-08,2024-11-08,2001-06-01,-39.20368
8,2024-11-08,2024-11-08,2001-07-01,-42.35474
9,2024-11-08,2024-11-08,2001-08-01,-43.84615
10,2024-11-08,2024-11-08,2001-09-01,-52.91411
11,2024-11-08,2024-11-08,2001-10-01,-61.75115
12,2024-11-08,2024-11-08,2001-11-01,-67.89555
13,2024-11-08,2024-11-08,2001-12-01,-71.5625
14,2024-11-08,2024-11-08,2002-01-01,-71.07023
15,2024-11-08,2024-11-08,2002-02-01,-68.30601
16,2024-11-08,2024-11-08,2002-03-01,-67.41996
17,2024-11-08,2024-11-08,2002-04-01,-63.54167
18,2024-11-08,2024-11-08,2002-05-01,-58.4323
19,2024-11-08,2024-11-08,2002-06-01,-55.9194
20,2024-11-08,2024-11-08,2002-07-01,-54.11141
21,2024-11-08,2024-11-08,2002-08-01,-52.32877
22,2024-11-08,2024-11-08,2002-09-01,-42.99674
23,2024-11-08,2024-11-08,2002-10-01,-29.71888
24,2024-11-08,2024-11-08,2002-11-01,-35.88517
25,2024-11-08,2024-11-08,2002-12-01,-31.86813
26,2024-11-08,2024-11-08,2003-01-01,-28.3237
27,2024-11-08,2024-11-08,2003-02-01,-27.58621
28,2024-11-08,2024-11-08,2003-03-01,-27.74566
29,2024-11-08,2024-11-08,2003-04-01,-28.0
30,2024-11-08,2024-11-08,2003-05-01,-28.0
31,2024-11-08,2024-11-08,2003-06-01,-30.28571
32,2024-11-08,2024-11-08,2003-07-01,-41.6185
33,2024-11-08,2024-11-08,2003-08-01,-40.8046
34,2024-11-08,2024-11-08,2003-09-01,-42.28571
35,2024-11-08,2024-11-08,2003-10-01,-42.28571
36,2024-11-08,2024-11-08,2003-11-01,-25.37313
37,2024-11-08,2024-11-08,2003-12-01,-20.96774
38,2024-11-08,2024-11-08,2004-01-01,-19.35484
39,2024-11-08,2024-11-08,2004-02-01,-19.84127
40,2024-11-08,2024-11-08,2004-03-01,-20.0
41,2024-11-08,2024-11-08,2004-04-01,-20.63492
42,2024-11-08,2024-11-08,2004-05-01,-20.63492
43,2024-11-08,2024-11-08,2004-06-01,-15.57377
44,2024-11-08,2024-11-08,2004-07-01,24.75248
45,2024-11-08,2024-11-08,2004-08-01,38.83495
46,2024-11-08,2024-11-08,2004-09-01,59.40594
47,2024-11-08,2024-11-08,2004-10-01,74.25743
48,2024-11-08,2024-11-08,2004-11-01,93.0
49,2024-11-08,2024-11-08,2004-12-01,120.40816
50,2024-11-08,2024-11-08,2005-01-01,128.0
51,2024-11-08,2024-11-08,2005-02-01,147.52475
52,2024-11-08,2024-11-08,2005-03-01,163.0
53,2024-11-08,2024-11-08,2005-04-01,179.0
54,2024-11-08,2024-11-08,2005-05-01,200.0
55,2024-11-08,2024-11-08,2005-06-01,195.14563
