date,realtime_start,realtime_end,value
2000-11-01,2024-11-05,2024-11-05,-4.87805
2000-12-01,2024-11-05,2024-11-05,-2.5
2001-01-01,2024-11-05,2024-11-05,5.0
2001-02-01,2024-11-05,2024-11-05,2.43902
2001-03-01,2024-11-05,2024-11-05,7.5
2001-04-01,2024-11-05,2024-11-05,15.78947
2001-05-01,2024-11-05,2024-11-05,7.5
2001-06-01,2024-11-05,2024-11-05,12.5
2001-07-01,2024-11-05,2024-11-05,15.0
2001-08-01,2024-11-05,2024-11-05,19.5122
2001-09-01,2024-11-05,2024-11-05,28.20513
2001-10-01,2024-11-05,2024-11-05,35.89744
2001-11-01,2024-11-05,2024-11-05,41.02564
2001-12-01,2024-11-05,2024-11-05,46.15385
2002-01-01,2024-11-05,2024-11-05,35.71429
2002-02-01,2024-11-05,2024-11-05,35.71429
2002-03-01,2024-11-05,2024-11-05,32.55814
2002-04-01,2024-11-05,2024-11-05,34.09091
2002-05-01,2024-11-05,2024-11-05,34.88372
2002-06-01,2024-11-05,2024-11-05,28.88889
2002-07-01,2024-11-05,2024-11-05,26.08696
2002-08-01,2024-11-05,2024-11-05,16.32653
2002-09-01,2024-11-05,2024-11-05,14.0
2002-10-01,2024-11-05,2024-11-05,7.54717
2002-11-01,2024-11-05,2024-11-05,7.27273
2002-12-01,2024-11-05,2024-11-05,5.26316
2003-01-01,2024-11-05,2024-11-05,1.75439
2003-02-01,2024-11-05,2024-11-05,3.50877
2003-03-01,2024-11-05,2024-11-05,3.50877
2003-04-01,2024-11-05,2024-11-05,1.69492
2003-05-01,2024-11-05,2024-11-05,5.17241
2003-06-01,2024-11-05,2024-11-05,8.62069
2003-07-01,2024-11-05,2024-11-05,6.89655
2003-08-01,2024-11-05,2024-11-05,7.01754
2003-09-01,2024-11-05,2024-11-05,7.01754
2003-10-01,2024-11-05,2024-11-05,5.26316
2003-11-01,2024-11-05,2024-11-05,-1.69492
2003-12-01,2024-11-05,2024-11-05,-5.0
2004-01-01,2024-11-05,2024-11-05,-1.72414
2004-02-01,2024-11-05,2024-11-05,-5.08475
2004-03-01,2024-11-05,2024-11-05,-1.69492
2004-04-01,2024-11-05,2024-11-05,-6.66667
2004-05-01,2024-11-05,2024-11-05,-8.19672
2004-06-01,2024-11-05,2024-11-05,-11.11111
2004-07-01,2024-11-05,2024-11-05,-11.29032
2004-08-01,2024-11-05,2024-11-05,-11.47541
2004-09-01,2024-11-05,2024-11-05,-11.47541
2004-10-01,2024-11-05,2024-11-05,-8.33333
2004-11-01,2024-11-05,2024-11-05,-6.89655
2004-12-01,2024-11-05,2024-11-05,-5.26316
2005-01-01,2024-11-05,2024-11-05,-7.01754
2005-02-01,2024-11-05,2024-11-05,-3.57143
2005-03-01,2024-11-05,2024-11-05,-10.34483
