,realtime_start,realtime_end,date,value
0,2024-11-08,2024-11-08,2000-11-01,-4.87805
1,2024-11-08,2024-11-08,2000-12-01,-2.5
2,2024-11-08,2024-11-08,2001-01-01,5.0
3,2024-11-08,2024-11-08,2001-02-01,2.43902
4,2024-11-08,2024-11-08,2001-03-01,7.5
5,2024-11-08,2024-11-08,2001-04-01,15.78947
6,2024-11-08,2024-11-08,2001-05-01,7.5
7,2024-11-08,2024-11-08,2001-06-01,12.5
8,2024-11-08,2024-11-08,2001-07-01,15.0
9,2024-11-08,2024-11-08,2001-08-01,19.5122
10,2024-11-08,2024-11-08,2001-09-01,28.20513
11,2024-11-08,2024-11-08,2001-10-01,35.89744
12,2024-11-08,2024-11-08,2001-11-01,41.02564
13,2024-11-08,2024-11-08,2001-12-01,46.15385
14,2024-11-08,2024-11-08,2002-01-01,35.71429
15,2024-11-08,2024-11-08,2002-02-01,35.71429
16,2024-11-08,2024-11-08,2002-03-01,32.55814
17,2024-11-08,2024-11-08,2002-04-01,34.09091
18,2024-11-08,2024-11-08,2002-05-01,34.88372
19,2024-11-08,2024-11-08,2002-06-01,28.88889
20,2024-11-08,2024-11-08,2002-07-01,26.08696
21,2024-11-08,2024-11-08,2002-08-01,16.32653
22,2024-11-08,2024-11-08,2002-09-01,14.0
23,2024-11-08,2024-11-08,2002-10-01,7.54717
24,2024-11-08,2024-11-08,2002-11-01,7.27273
25,2024-11-08,2024-11-08,2002-12-01,5.26316
26,2024-11-08,2024-11-08,2003-01-01,1.75439
27,2024-11-08,2024-11-08,2003-02-01,3.50877
28,2024-11-08,2024-11-08,2003-03-01,3.50877
29,2024-11-08,2024-11-08,2003-04-01,1.69492
30,2024-11-08,2024-11-08,2003-05-01,5.17241
31,2024-11-08,2024-11-08,2003-06-01,8.62069
32,2024-11-08,2024-11-08,2003-07-01,6.89655
33,2024-11-08,2024-11-08,2003-08-01,7.01754
34,2024-11-08,2024-11-08,2003-09-01,7.01754
35,2024-11-08,2024-11-08,2003-10-01,5.26316
36,2024-11-08,2024-11-08,2003-11-01,-1.69492
37,2024-11-08,2024-11-08,2003-12-01,-5.0
38,2024-11-08,2024-11-08,2004-01-01,-1.72414
39,2024-11-08,2024-11-08,2004-02-01,-5.08475
