time,open,high,low,close,tick_volume,spread,real_volume
2019-11-07,1490.175,1492.117,1460.63,1468.651,64358,260,0
2019-11-08,1468.616,1472.878,1456.2,1458.48,60651,260,0
2019-11-10,1460.307,1461.038,1459.98,1460.966,1448,260,0
2019-11-11,1460.973,1466.367,1448.205,1455.583,50669,260,0
2019-11-12,1455.581,1460.348,1445.578,1458.243,62446,260,0
2019-11-13,1458.265,1466.995,1457.204,1463.483,59300,260,0
2019-11-14,1463.479,1474.549,1461.113,1469.183,57436,260,0
2019-11-15,1469.19,1469.813,1462.402,1466.822,50463,260,0
2019-11-17,1467.963,1469.539,1467.65,1469.001,1330,260,0
2019-11-18,1469.01,1473.833,1456.334,1471.683,54714,260,0
2019-11-19,1471.666,1475.259,1464.773,1474.484,56155,260,0
2019-11-20,1474.477,1478.743,1465.81,1474.363,60904,260,0
2019-11-21,1474.382,1475.555,1462.357,1465.083,61029,260,0
2019-11-22,1465.047,1473.12,1461.334,1462.093,51878,260,0
2019-11-24,1460.59,1460.928,1459.64,1460.412,1493,260,0
2019-11-25,1460.401,1462.041,1453.615,1453.832,49585,260,0
2019-11-26,1453.84,1462.764,1449.895,1460.485,49717,260,0
2019-11-27,1460.45,1461.141,1452.534,1456.845,48862,260,0
2019-11-28,1456.817,1458.191,1454.194,1456.016,31322,260,0
2019-11-29,1456.024,1466.444,1452.991,1463.914,41303,260,0
2019-12-01,1462.603,1462.603,1461.559,1461.778,1604,260,0
2019-12-02,1461.746,1465.735,1453.917,1462.598,55645,260,0
2019-12-03,1462.609,1481.689,1459.793,1476.582,60954,260,0
2019-12-04,1476.593,1483.956,1471.408,1475.523,61314,260,0
2019-12-05,1475.524,1480.262,1472.87,1475.925,55198,260,0
2019-12-06,1475.942,1479.211,1458.659,1460.693,51400,260,0
2019-12-08,1458.717,1459.945,1458.71,1459.899,1533,260,0
2019-12-09,1459.893,1465.306,1459.057,1461.044,46173,260,0
2019-12-10,1461.038,1469.082,1460.008,1463.853,51412,260,0
2019-12-11,1463.814,1478.822,1462.703,1474.534,52057,253,0
2019-12-12,1474.543,1486.641,1461.868,1465.021,62268,258,0
2019-12-13,1465.06,1477.957,1464.768,1476.442,61087,260,0
2019-12-15,1474.939,1474.987,1473.729,1474.073,1686,260,0
2019-12-16,1474.096,1479.786,1473.141,1475.303,48458,260,0
2019-12-17,1475.307,1480.418,1474.185,1475.58,46623,260,0
2019-12-18,1475.577,1479.229,1470.436,1475.724,45429,260,0
2019-12-19,1475.721,1481.614,1473.248,1478.396,45814,260,0
2019-12-20,1478.414,1480.893,1475.817,1477.567,39884,260,0
2019-12-22,1477.946,1478.58,1477.448,1478.463,1329,260,0
2019-12-23,1478.461,1486.068,1478.382,1485.406,42660,260,0
2019-12-24,1485.44,1500.412,1484.343,1499.587,35692,260,0
2019-12-26,1504.34,1512.501,1502.695,1511.122,35982,260,0
2019-12-27,1511.118,1515.222,1507.309,1510.751,46136,260,0
2019-12-29,1511.309,1513.889,1511.012,1513.466,1803,260,0
2019-12-30,1513.459,1516.028,1510.741,1514.854,44922,260,0
2019-12-31,1514.854,1525.185,1514.769,1522.657,39708,260,0
2020-01-02,1518.464,1531.275,1517.172,1528.743,49227,260,0
2020-01-03,1528.725,1553.419,1528.725,1551.883,66506,260,0
2020-01-05,1577.36,1582.102,1566.855,1569.216,5727,260,0
2020-01-06,1569.151,1579.966,1560.818,1563.706,71962,260,0
2020-01-07,1563.723,1598.344,1555.277,1595.013,74597,260,0
2020-01-08,1594.963,1611.365,1552.222,1558.022,102199,260,0
2020-01-09,1558.016,1561.257,1540.211,1552.626,69282,260,0
2020-01-10,1552.59,1563.049,1545.667,1561.958,59424,260,0
2020-01-12,1559.741,1560.563,1557.998,1559.187,1862,260,0
2020-01-13,1559.187,1559.957,1544.911,1545.188,56753,260,0
2020-01-14,1545.196,1549.935,1535.834,1549.498,62787,260,0
2020-01-15,1549.489,1558.082,1546.34,1556.252,59092,260,0
2020-01-16,1556.272,1558.037,1547.955,1552.144,53711,260,0
2020-01-17,1552.147,1561.156,1549.343,1557.33,53162,260,0
2020-01-19,1558.947,1558.947,1556.292,1556.98,1808,260,0
2020-01-20,1556.975,1562.65,1556.627,1561.177,35364,260,0
2020-01-21,1561.174,1568.507,1546.314,1556.466,62737,260,0
2020-01-22,1556.421,1563.677,1550.135,1561.367,54440,260,0
2020-01-23,1561.378,1567.864,1551.892,1560.889,57507,260,0
2020-01-24,1560.883,1575.728,1556.513,1571.333,54198,260,0
2020-01-26,1581.234,1588.516,1581.234,1582.664,4435,260,0
2020-01-27,1582.704,1586.182,1575.831,1581.06,64194,260,0
